Position,Category,Salary Range,Posted Date,Detail URL,Job Description,Required Skills,Responsibilities
2025 Spring Growth Intern,Growth,$30 - $60/hr,"Apr 10, 2025",https://experts.afterquery.com/apply/growth-intern,"AfterQuery is seeking highly motivated undergraduate and graduate students for a remote internship focused on growth and outreach. This is not a typical internship — you'll work directly with our founding team on high-priority initiatives. Your work will directly impact our growth, from content creation to user acquisition.

The internship begins with a 1-week trial, during which you'll be paid per successful referral. Performance during this period will determine whether you continue in the program. Interns who pass the trial will receive biweekly pay in addition to commission and take on a greater role in planning and executing growth campaigns.","Enrolled in an undergraduate or graduate program
High agency - be independent and take initiative
Excellent and quick communication (respond to messages in <1 hour)
Attention to detail
Demonstrated passion for startups, growth, or AI-related technologies","Be prepared to hustle and do things that aren't scalable to 10x the company
Conduct outreach to undergraduate and graduate students through LinkedIn and Email
Organize and execute creative growth campaigns
Track campaign performance and suggest improvements
Collaborate closely with the founding team and other interns on growth-related projects"
Accountant Expert,Accounting,$35 - $75/hr,"Mar 24, 2025",https://experts.afterquery.com/apply/accountant,"This is a remote, part-time accounting role. You'll use Excel and PowerPoint to replicate the kinds of schedules, statements, and summary memos typical in corporate accounting, audit, and reporting. Projects are asynchronous and flexible, with ~10 hours/week expected when active.","Strong understanding of Accrual/Cash-Based Accounting and Excel modeling of accounting workflows
Experience preparing or reviewing financial statements
Excited to improve the future of AI applications","Build Excel schedules for journal entries, revenue recognition, depreciation, tax adjustments, and more
Create PowerPoint decks summarizing financial statement changes, internal control issues, accounting policy impacts, and more
Simulate closing entries, audit memos, and reporting packages"
AfterQuery Expert,General,Undisclosed,"Feb 28, 2025",https://experts.afterquery.com/apply/general,General AQ App,,
AI Model Vulnerability Bounty Program,Safety,Bounty Based,"Apr 17, 2025",https://experts.afterquery.com/apply/ai-bounty-program,"AfterQuery is launching an AI Security Bounty Program focused on discovering vulnerabilities in state-of-the-art AI language models. Our mission is to test and improve AI safety guardrails by identifying novel jailbreak methods and model vulnerabilities before they can be exploited in real-world scenarios.


Bounty Structure
This is a performance-based program with rewards tied directly to the severity and novelty of discovered vulnerabilities. We are giving away $100-$5,000 bounties from our total bounty pool of $50,000.


Ethics and Responsible Disclosure
All research must be conducted ethically and responsibly. We expect:
No sharing of vulnerabilities outside our secure reporting system
No exploitation of discovered vulnerabilities for harmful purposes
Respect for user privacy and data protection principles","Strong understanding of LLMs and their limitations
Creative problem-solving skills and lateral thinking
Experience in adversarial thinking, security testing, or red-teaming
Excellent written communication skills for documenting findings
Ethical approach to vulnerability research","Develop novel jailbreak techniques that bypass safety guardrails
Explore prompt injection vulnerabilities
Identify methods to extract sensitive information from models
Create techniques that induce unintended or harmful outputs
Engineer adversarial attacks that compromise model behavior
Design creative ways to circumvent content filtering systems"
Associate Consultant Expert,Consulting,$40 - $80/hr,"Mar 24, 2025",https://experts.afterquery.com/apply/associate-consultant,"This is a remote, part-time consultant role. You'll produce materials and analyses similar to those created by consultants at top-tier firms. Projects are asynchronous and flexible, with ~10 hours/week expected when active.","Strong proficiency in Excel and PowerPoint for strategy-related tasks
Familiarity with top consulting frameworks and slide structuring
Excited to improve the future of AI applications","Create consulting-style PowerPoint decks, including market sizing, competitor benchmarking, and operational strategy, and build Excel based market models
Build Excel models that support cost breakdowns, profitability analyses, and business case frameworks
Conduct in-depth qualitative and quantitative analyses to diagnose challenges, identify key insights, and support data-driven strategic recommendations."
Biology PhD Expert,Biology,$45 - $65/hr,"Apr 12, 2025",https://experts.afterquery.com/apply/biology-phd-expert,"AfterQuery is looking for a Biology PhD Expert to design, evaluate, and refine biology-centric prompts for our cutting-edge AI projects. In this remote, flexible role, you'll develop high-quality questions that mirror real-world scenarios in biomedical research, clinical medicine, and biotechnology while scrutinizing model responses for scientific accuracy. Your expert insights will help enhance our AI's ability to understand and process complex biological concepts.","PhD or equivalent expertise in Biology, Medicine, Biochemistry, Pharmacology, Genetics, Molecular Biology, or a related field.
At least 2 years of research or industry experience in academic, clinical, or biotech settings.
Strong analytical skills with a proven ability to evaluate experimental data, scientific claims, and complex research findings.","Create well-crafted biology questions across various topics such as genetics, molecular biology, pharmacology, and bioinformatics to challenge and improve AI reasoning.
Validate model solutions for accuracy and rigor, ensuring that each prompt demands analytical thinking and thorough scientific understanding.
Provide detailed feedback and suggestions to continually improve the quality and educational value of our question set."
Business Intelligence Expert (Global),Corporate Development,$15 - $20/hr,"Jun 24, 2025",https://experts.afterquery.com/apply/bi-expert-global,"This position is ONLY for candidates NOT based in the US, Canada or EU. Those who are, please apply to the US/EU position. Students are welcome to apply.
This is a remote, part-time business intelligence role. You'll produce and evaluate sales reports, KPI dashboards, competitor analyses, market research data, and performance metrics. You will create step-by-step instructions on how to achieve conclusions based on tables and charts. Projects are asynchronous and flexible, with ~10 hours/week expected when active.","Strong proficiency in Excel and PowerPoint for strategy-related tasks
Familiarity with consulting frameworks and slide structuring
Excited to improve the future of AI applications","Answer questions & create detailed reasoning summaries based off sales reports, KPI dashboards, competitor analyses, market research data, and performance metrics
Write in-depth lists of ""instructions"" for analyzing tables and charts
Maintain consistent formatting and style across a large set of input and output data"
Business Intelligence Expert (US/EU ONLY),Corporate Development,$25 - $40/hr,"Jun 24, 2025",https://experts.afterquery.com/apply/bi-expert,"This position is ONLY for US and EU based candidates. Others, please apply to the Global position. Students are welcome to apply.
This is a remote, part-time business intelligence role. You'll produce and evaluate sales reports, KPI dashboards, competitor analyses, market research data, and performance metrics. You will create step-by-step instructions on how to achieve conclusions based on tables and charts. Projects are asynchronous and flexible, with ~10 hours/week expected when active.","Strong proficiency in Excel and PowerPoint for strategy-related tasks
Familiarity with consulting frameworks and slide structuring
Excited to improve the future of AI applications","Answer questions & create detailed reasoning summaries based off sales reports, KPI dashboards, competitor analyses, market research data, and performance metrics
Write in-depth lists of ""instructions"" for analyzing tables and charts
Maintain consistent formatting and style across a large set of input and output data"
Chemistry PhD Expert,Chemistry,$45 - $65/hr,"Apr 12, 2025",https://experts.afterquery.com/apply/chemistry-phd-expert,"AfterQuery is seeking a Chemistry PhD Expert to help design and evaluate challenging chemistry problems that train and refine our AI models. In this flexible, remote role, you will create authentic, thought-provoking prompts based on real-world chemical principles and apply your deep expertise to assess model responses. You'll play a vital role in bridging the gap between advanced chemical research and next-generation AI capabilities while working on project-based assignments with adaptable hours.","PhD in Chemistry, Chemical Engineering, Biochemistry, or a related field.
A minimum experience of 2 years in academic research, industrial R&D, or applied chemistry settings.
Exceptional analytical, experimental design, and critical writing skills, with the ability to interpret complex data accurately.","Develop and refine comprehensive chemistry questions that encourage logical reasoning and problem-solving.
Evaluate model answers for scientific rigor and accuracy, ensuring alignment with current chemical theories and practices.
Provide detailed feedback to improve both question quality and the AI's understanding of complex chemical concepts."
Competitive Programming Expert (Independent Contractor),Coding,$30 - $60/hr,"Mar 30, 2025",https://experts.afterquery.com/apply/competitive-programmer,"We are seeking exceptional competitive programmers (top 1% LeetCode users, ICPC Nationals, Codeforces Master, USACO Gold) to join our research project in collaboration with a leading AI lab. This is a flexible remote position requiring 10-20 hours of work per week.","You are a top 1% LeetCode user, ICPC Nationals participant, Codeforces Master, or in the USACO Gold division
Exceptional problem-solving skills with data structures and algorithms
Excellent written communication skills for documenting solutions","Solve complex competitive programming problems that challenge current AI models
Design original competitive programming problems
Evaluate AI model performance on competitive programming problems
Provide detailed feedback on AI solutions
Implement efficient, optimized code solutions that demonstrate programming best practices"
