title,location,first_published,updated_at,url,description_raw
Analytical Chemistry Specialist - AI Trainer,World Wide - Remote,2025-05-15T17:13:06-04:00,2025-05-19T07:27:07-04:00,https://job-boards.eu.greenhouse.io/agency/jobs/4590477101,"{""analytical chemistry specialist - ai trainer"": ""Are you an analytical chemistry expert eager to shape the future of AI? Large‐scale language models are evolving from clever chatbots into powerful engines of scientific discovery. With high‐quality training data, tomorrow’s AI can democratize world‐class education, keep pace with cutting‐edge research, and streamline lab work for scientists everywhere. That training data begins with you—we need your expertise to help power the next generation of AI. We’re looking for analytical chemistry specialists who live and breathe spectroscopy, chromatography, electrochemical analysis, quantitative chemical analysis, environmental testing, pharmaceutical analysis, and analytical method development. You’ll challenge advanced language models on topics like mass spectrometry, HPLC and GC technique optimization, NMR interpretation, method validation, trace analysis, titrimetric methods, and QA/QC protocol design—documenting every failure mode so we can harden model reasoning. On a typical day, you will converse with the model on lab scenarios and theoretical analytical chemistry questions, verify factual accuracy and logical soundness, capture reproducible error traces, and suggest improvements to our prompt engineering and evaluation metrics. A PhD in analytical chemistry or a closely related chemical science field is ideal; peer‐reviewed publications, lab-based method development, regulatory testing, or instrumentation-intensive research signal fit. Clear, metacognitive communication—“showing your work”—is essential. Ready to turn your analytical chemistry expertise into the knowledge base for tomorrow’s AI? Apply today and start teaching the model that will teach the world. We offer a pay range of $8‐to‐$65 per hour, with the exact rate determined after evaluating your experience, expertise, and geographic location. Final offer amounts may vary from the pay range listed above. As a contractor you’ll supply a secure computer and high‐speed internet; company‐sponsored benefits such as health insurance and PTO do not apply. Job title: Analytical Chemistry Specialist – AI Trainer Employment type: Contract Workplace type: Remote Seniority level: Mid‐Senior Level"", ""apply for this job"": ""* indicates a required field Accepted file types: pdf, doc, docx, txt, rtf Education Proficiency means you can effectively communicate complex ideas, including academic or cognitively challenging topics, both verbally and in writing. This includes the ability to participate in professional conversations, explain nuanced concepts, and understand detailed instructions in the selected language(s) Please enter your desired hourly rate in USD as a number only (no symbols, words, or ranges). Decimals are allowed. Do not include $, commas, or text."", ""number only"": ""Example: 8.50 (for $8.50/hour)"", ""example:"": ""Please enter the number of hours you are generally available each week using numbers only . Decimals are allowed. Do not include text or symbols. By clicking \""Submit Application\"", you agree to Invisible's Privacy Policy . Powered by Read our Privacy Policy"", ""not"": ""Example: 40 or 32.5""}"
Biology Expert AI Data Trainer (Fluent in Chinese),APJ - Remote,2025-04-17T15:35:28-04:00,2025-05-19T07:27:00-04:00,https://job-boards.eu.greenhouse.io/agency/jobs/4577577101,"{""biology expert ai data trainer (fluent in chinese)"": ""Are you an expert in Biology? Join the team powering the next generation of AI language models."", ""why this matters"": ""Large‐scale language models are no longer just clever chatbots—they’re becoming powerful engines for mathematical and scientific discovery. With the right training data, tomorrow’s AI could: Democratize access to world‐class STEM education Democratize access to world‐class STEM education Stay current on leading‐edge research Stay current on leading‐edge research Automate routine calculations, coding, and lab workflows for scientists everywhere Automate routine calculations, coding, and lab workflows for scientists everywhere That training data starts with you."", ""your mission"": ""As an Expert , you’ll act as a subject‐matter “teacher” for the model:"", ""expert"": ""Write & solve problems in Biology. Write & solve problems in Biology."", ""write & solve problems"": ""Design rubrics that define what a perfect answer looks like. Design rubrics that define what a perfect answer looks like."", ""design rubrics"": ""Grade model outputs , pinpointing gaps in logic, ethics, or clarity. Grade model outputs , pinpointing gaps in logic, ethics, or clarity."", ""grade model outputs"": ""Coach the model to self‐evaluate, reason step‐by‐step, and unlock creativity. Coach the model to self‐evaluate, reason step‐by‐step, and unlock creativity."", ""coach the model"": ""You’ll collaborate with fellow expert trainers, quality analysts, and AI researchers—directly shaping how cutting‐edge AI understands and reasons about Biology."", ""experience we’re looking for"": ""Must‐Have Graduate Degree in Biology (PhD or Masters) Native Level of Proficiency in Mandarin Nice‐to‐Have Peer‐reviewed research University teaching or high‐level tutoring Industry or lab experience in Biology"", ""biology"": ""Employment type: Contract Workplace type: Remote Seniority level: Mid‐Senior Level"", ""a typical day"": ""Data creation (core) – authoring and solving domain‐specific problems. Data creation (core) – authoring and solving domain‐specific problems."", ""data creation (core)"": ""Model assessment – scoring answers and refining evaluation criteria. Model assessment – scoring answers and refining evaluation criteria."", ""model assessment"": ""Instruction refinement – rewriting prompts so the next trainer can work even faster. Instruction refinement – rewriting prompts so the next trainer can work even faster."", ""instruction refinement"": ""Quality & ethics reviews – flagging bias, inaccuracies, or unsafe content. Quality & ethics reviews – flagging bias, inaccuracies, or unsafe content."", ""quality & ethics reviews"": ""Info syncs – short stand‐ups or workshops on new campaigns and findings. Info syncs – short stand‐ups or workshops on new campaigns and findings."", ""who thrives here"": ""Critical thinkers who love deconstructing complex concepts. Critical thinkers who love deconstructing complex concepts. Clear communicators able to explain both what is wrong and why . Clear communicators able to explain both what is wrong and why . Detail‐oriented professionals with a strong ethical compass. Detail‐oriented professionals with a strong ethical compass. Agile multitaskers who enjoy switching between micro‐tasks and deep dives. Agile multitaskers who enjoy switching between micro‐tasks and deep dives. Patient collaborators who give constructive, respectful feedback. Patient collaborators who give constructive, respectful feedback."", ""compensation"": ""$15 - $30 USD per hour"", ""$15 - $30 usd per hour"": ""Ready to turn your expertise in Biology into the knowledge base for tomorrow’s AI? Apply today and start teaching the model that will teach the world."", ""apply for this job"": ""* indicates a required field Accepted file types: pdf, doc, docx, txt, rtf Education Proficiency means you can effectively communicate complex ideas, including academic or cognitively challenging topics, both verbally and in writing. This includes the ability to participate in professional conversations, explain nuanced concepts, and understand detailed instructions in the selected language(s) Please enter your desired hourly rate in USD as a number only (no symbols, words, or ranges). Decimals are allowed. Do not include $, commas, or text."", ""number only"": ""Example: 8.50 (for $8.50/hour)"", ""example:"": ""Please enter the number of hours you are generally available each week using numbers only . Decimals are allowed. Do not include text or symbols. By clicking \""Submit Application\"", you agree to Invisible's Privacy Policy . Powered by Read our Privacy Policy"", ""not"": ""Example: 40 or 32.5""}"
Business Expert AI Data Trainer (Fluent in Chinese),APJ - Remote,2025-04-17T15:41:44-04:00,2025-05-19T07:27:00-04:00,https://job-boards.eu.greenhouse.io/agency/jobs/4577578101,"{""business expert ai data trainer (fluent in chinese)"": ""Are you an expert in Business?"", ""business"": ""Join the team powering the next generation of AI language models. Design rubrics that define what a perfect answer looks like. Design rubrics that define what a perfect answer looks like. Employment type: Contract Workplace type: Remote Seniority level: Mid‐Senior Level"", ""why this matters"": ""Large‐scale language models are no longer just clever chatbots—they’re becoming powerful engines for mathematical and scientific discovery. With the right training data, tomorrow’s AI could: Democratize access to world‐class education Democratize access to world‐class education Stay current on leading‐edge research Stay current on leading‐edge research Automate routine calculations, coding, and lab workflows for scientists everywhere Automate routine calculations, coding, and lab workflows for scientists everywhere That training data starts with you."", ""your mission"": ""As an Expert , you’ll act as a subject‐matter “teacher” for the model:"", ""expert"": ""Write & solve problems in the domain of Business . Write & solve problems in the domain of Business ."", ""design rubrics"": ""Grade model outputs , pinpointing gaps in logic, ethics, or clarity. Grade model outputs , pinpointing gaps in logic, ethics, or clarity."", ""grade model outputs"": ""Coach the model to self‐evaluate, reason step‐by‐step, and unlock creativity. Coach the model to self‐evaluate, reason step‐by‐step, and unlock creativity."", ""coach the model"": ""You’ll collaborate with fellow expert trainers, quality analysts, and AI researchers—directly shaping how cutting‐edge AI understands and reasons in the field of Business ."", ""experience we’re looking for"": ""Must‐Have Graduate Degree in Business (PhD or Masters) Native Level of Proficiency in Mandarin Nice‐to‐Have Peer‐reviewed research University teaching or high‐level tutoring Industry experience"", ""a typical day"": ""Data creation (core) – authoring and solving domain‐specific problems. Data creation (core) – authoring and solving domain‐specific problems."", ""data creation (core)"": ""Model assessment – scoring answers and refining evaluation criteria. Model assessment – scoring answers and refining evaluation criteria."", ""model assessment"": ""Instruction refinement – rewriting prompts so the next trainer can work even faster. Instruction refinement – rewriting prompts so the next trainer can work even faster."", ""instruction refinement"": ""Quality & ethics reviews – flagging bias, inaccuracies, or unsafe content. Quality & ethics reviews – flagging bias, inaccuracies, or unsafe content."", ""quality & ethics reviews"": ""Info syncs – short stand‐ups or workshops on new campaigns and findings. Info syncs – short stand‐ups or workshops on new campaigns and findings."", ""who thrives here"": ""Critical thinkers who love deconstructing complex concepts. Critical thinkers who love deconstructing complex concepts. Clear communicators able to explain both what is wrong and why . Clear communicators able to explain both what is wrong and why . Detail‐oriented professionals with a strong ethical compass. Detail‐oriented professionals with a strong ethical compass. Agile multitaskers who enjoy switching between micro‐tasks and deep dives. Agile multitaskers who enjoy switching between micro‐tasks and deep dives. Patient collaborators who give constructive, respectful feedback. Patient collaborators who give constructive, respectful feedback."", ""compensation"": ""$15 - $30 USD per hour"", ""$15 - $30 usd per hour"": ""Ready to turn your expertise in Business into the knowledge base for tomorrow’s AI? Apply today and start teaching the model that will teach the world."", ""apply for this job"": ""* indicates a required field Accepted file types: pdf, doc, docx, txt, rtf Education Proficiency means you can effectively communicate complex ideas, including academic or cognitively challenging topics, both verbally and in writing. This includes the ability to participate in professional conversations, explain nuanced concepts, and understand detailed instructions in the selected language(s) Please enter your desired hourly rate in USD as a number only (no symbols, words, or ranges). Decimals are allowed. Do not include $, commas, or text."", ""number only"": ""Example: 8.50 (for $8.50/hour)"", ""example:"": ""Please enter the number of hours you are generally available each week using numbers only . Decimals are allowed. Do not include text or symbols. By clicking \""Submit Application\"", you agree to Invisible's Privacy Policy . Powered by Read our Privacy Policy"", ""not"": ""Example: 40 or 32.5""}"
Business Specialist – AI Trainer,World Wide - Remote,2025-04-29T11:17:22-04:00,2025-06-24T14:37:16-04:00,https://job-boards.eu.greenhouse.io/agency/jobs/4577599101,"{""business specialist – ai trainer"": ""Are you a business expert eager to shape the future of AI? Large‐scale language models are evolving from clever chatbots into powerful engines of strategic and operational insight. With high‐quality training data, tomorrow’s AI can democratize world‐class education, keep pace with global markets, and streamline business workflows for professionals everywhere. That training data begins with you—we need your expertise to help power the next generation of AI. We’re looking for business specialists who live and breathe strategic management, operations, marketing, finance, entrepreneurship, business ethics, leadership, and organizational behavior. You’ll challenge advanced language models on topics like market analysis, corporate governance, business model innovation, SWOT analysis, branding strategies, financial forecasting, and stakeholder communication—documenting every failure mode so we can harden model reasoning. On a typical day, you will converse with the model on business case studies and theoretical business questions, verify factual accuracy and logical soundness, capture reproducible error traces, and suggest improvements to our prompt engineering and evaluation metrics. A master’s, PhD or MBA in business administration, economics, or a closely related field is ideal; peer‐reviewed publications, consulting experience, startup leadership, or corporate strategy roles signal fit. Clear, metacognitive communication—“showing your work”—is essential. Ready to turn your business expertise into the knowledge base for tomorrow’s AI? Apply today and start teaching the model that will teach the world. We offer a pay range of $8-to- $65 per hour, with the exact rate determined after evaluating your experience, expertise, and geographic location. Final offer amounts may vary from the pay range listed above. As a contractor you’ll supply a secure computer and high‐speed internet; company‐sponsored benefits such as health insurance and PTO do not apply. Job title: Business Specialist – AI Trainer Employment type: Contract Workplace type: Remote Seniority level: Mid‐Senior Level"", ""apply for this job"": ""* indicates a required field Accepted file types: pdf, doc, docx, txt, rtf Education Proficiency means you can effectively communicate complex ideas, including academic or cognitively challenging topics, both verbally and in writing. This includes the ability to participate in professional conversations, explain nuanced concepts, and understand detailed instructions in the selected language(s) Please enter your desired hourly rate in USD as a number only (no symbols, words, or ranges). Decimals are allowed. Do not include $, commas, or text."", ""number only"": ""Example: 8.50 (for $8.50/hour)"", ""example:"": ""Please enter the number of hours you are generally available each week using numbers only . Decimals are allowed. Do not include text or symbols. By clicking \""Submit Application\"", you agree to Invisible's Privacy Policy . Powered by Read our Privacy Policy"", ""not"": ""Example: 40 or 32.5""}"
Chemistry Expert AI Data Trainer (Fluent in Chinese),APJ - Remote,2025-04-22T05:43:30-04:00,2025-05-19T07:27:00-04:00,https://job-boards.eu.greenhouse.io/agency/jobs/4577579101,"{""chemistry expert ai data trainer (fluent in chinese)"": ""Are you an expert in Chemistry? Join the team powering the next generation of AI language models."", ""why this matters"": ""Large‐scale language models are no longer just clever chatbots—they’re becoming powerful engines for mathematical and scientific discovery. With the right training data, tomorrow’s AI could: Democratize access to world‐class education Democratize access to world‐class education Stay current on leading‐edge research Stay current on leading‐edge research Automate routine calculations, coding, and lab workflows for scientists everywhere Automate routine calculations, coding, and lab workflows for scientists everywhere That training data starts with you."", ""your mission"": ""As an Expert , you’ll act as a subject‐matter “teacher” for the model:"", ""expert"": ""Write & solve problems in the domain of Chemistry . Write & solve problems in the domain of Chemistry ."", ""chemistry"": ""Design rubrics that define what a perfect answer looks like. Design rubrics that define what a perfect answer looks like. Employment type: Contract Workplace type: Remote Seniority level: Mid‐Senior Level"", ""design rubrics"": ""Grade model outputs , pinpointing gaps in logic, ethics, or clarity. Grade model outputs , pinpointing gaps in logic, ethics, or clarity."", ""grade model outputs"": ""Coach the model to self‐evaluate, reason step‐by‐step, and unlock creativity. Coach the model to self‐evaluate, reason step‐by‐step, and unlock creativity."", ""coach the model"": ""You’ll collaborate with fellow expert trainers, quality analysts, and AI researchers—directly shaping how cutting‐edge AI understands and reasons in the field of Chemistry ."", ""experience we’re looking for"": ""Must‐Have Graduate Degree in Chemistry (PhD or Masters) Native Level of Proficiency in Mandarin Nice‐to‐Have Peer‐reviewed research University teaching or high‐level tutoring Industry or lab experience in Chemistry"", ""a typical day"": ""Data creation (core) – authoring and solving domain‐specific problems. Data creation (core) – authoring and solving domain‐specific problems."", ""data creation (core)"": ""Model assessment – scoring answers and refining evaluation criteria. Model assessment – scoring answers and refining evaluation criteria."", ""model assessment"": ""Instruction refinement – rewriting prompts so the next trainer can work even faster. Instruction refinement – rewriting prompts so the next trainer can work even faster."", ""instruction refinement"": ""Quality & ethics reviews – flagging bias, inaccuracies, or unsafe content. Quality & ethics reviews – flagging bias, inaccuracies, or unsafe content."", ""quality & ethics reviews"": ""Info syncs – short stand‐ups or workshops on new campaigns and findings. Info syncs – short stand‐ups or workshops on new campaigns and findings."", ""who thrives here"": ""Critical thinkers who love deconstructing complex concepts. Critical thinkers who love deconstructing complex concepts. Clear communicators able to explain both what is wrong and why . Clear communicators able to explain both what is wrong and why . Detail‐oriented professionals with a strong ethical compass. Detail‐oriented professionals with a strong ethical compass. Agile multitaskers who enjoy switching between micro‐tasks and deep dives. Agile multitaskers who enjoy switching between micro‐tasks and deep dives. Patient collaborators who give constructive, respectful feedback. Patient collaborators who give constructive, respectful feedback."", ""compensation"": ""$15 - $30 USD per hour"", ""$15 - $30 usd per hour"": ""Ready to turn your expertise in Chemistry into the knowledge base for tomorrow’s AI? Apply today and start teaching the model that will teach the world."", ""apply for this job"": ""* indicates a required field Accepted file types: pdf, doc, docx, txt, rtf Education Proficiency means you can effectively communicate complex ideas, including academic or cognitively challenging topics, both verbally and in writing. This includes the ability to participate in professional conversations, explain nuanced concepts, and understand detailed instructions in the selected language(s) Please enter your desired hourly rate in USD as a number only (no symbols, words, or ranges). Decimals are allowed. Do not include $, commas, or text."", ""number only"": ""Example: 8.50 (for $8.50/hour)"", ""example:"": ""Please enter the number of hours you are generally available each week using numbers only . Decimals are allowed. Do not include text or symbols. By clicking \""Submit Application\"", you agree to Invisible's Privacy Policy . Powered by Read our Privacy Policy"", ""not"": ""Example: 40 or 32.5""}"
Chemistry Specialist – AI Trainer,World Wide - Remote,2025-05-01T15:24:14-04:00,2025-06-24T14:37:16-04:00,https://job-boards.eu.greenhouse.io/agency/jobs/4577600101,"{""chemistry specialist – ai trainer"": ""Are you a chemistry expert eager to shape the future of AI? Large‐scale language models are evolving from clever chatbots into powerful engines of scientific discovery. With high‐quality training data, tomorrow’s AI can democratize world‐class education, keep pace with cutting‐edge research, and streamline lab work for scientists everywhere. That training data begins with you—we need your expertise to help power the next generation of AI. We’re looking for chemistry specialists who live and breathe organic chemistry, inorganic chemistry, physical chemistry, analytical chemistry, biochemistry, material science, chemical engineering, spectroscopy, chromatography, and thermodynamics. You’ll challenge advanced language models on topics like chemical reactions, reaction mechanisms, equilibrium, molecular dynamics, catalysis, synthetic chemistry, and computational chemistry—documenting every failure mode so we can harden model reasoning. On a typical day, you will converse with the model on lab scenarios and theoretical chemistry questions, verify factual accuracy and logical soundness, capture reproducible error traces, and suggest improvements to our prompt engineering and evaluation metrics. A master’s or PhD in chemistry or a closely related field is ideal; peer‐reviewed publications, wet-lab or field research, or hands-on computational chemistry projects signal fit. Clear, metacognitive communication—“showing your work”—is essential. Ready to turn your chemistry expertise into the knowledge base for tomorrow’s AI? Apply today and start teaching the model that will teach the world. We offer a pay range of $8-to- $65 per hour, with the exact rate determined after evaluating your experience, expertise, and geographic location. Final offer amounts may vary from the pay range listed above. As a contractor you’ll supply a secure computer and high‐speed internet; company‐sponsored benefits such as health insurance and PTO do not apply. Job title: Chemistry Specialist – AI Trainer Employment type: Contract Workplace type: Remote Seniority level: Mid‐Senior Level"", ""apply for this job"": ""* indicates a required field Accepted file types: pdf, doc, docx, txt, rtf Education Proficiency means you can effectively communicate complex ideas, including academic or cognitively challenging topics, both verbally and in writing. This includes the ability to participate in professional conversations, explain nuanced concepts, and understand detailed instructions in the selected language(s) Please enter your desired hourly rate in USD as a number only (no symbols, words, or ranges). Decimals are allowed. Do not include $, commas, or text."", ""number only"": ""Example: 8.50 (for $8.50/hour)"", ""example:"": ""Please enter the number of hours you are generally available each week using numbers only . Decimals are allowed. Do not include text or symbols. By clicking \""Submit Application\"", you agree to Invisible's Privacy Policy . Powered by Read our Privacy Policy"", ""not"": ""Example: 40 or 32.5""}"
Computer Science Expert AI Data Trainer (Fluent in Chinese),APJ - Remote,2025-04-17T15:46:41-04:00,2025-05-19T07:27:00-04:00,https://job-boards.eu.greenhouse.io/agency/jobs/4577580101,"{""computer science expert ai data trainer (fluent in chinese)"": ""Are you an expert in Computer Science? Join the team powering the next generation of AI language models."", ""why this matters"": ""Large‐scale language models are no longer just clever chatbots—they’re becoming powerful engines for mathematical and scientific discovery. With the right training data, tomorrow’s AI could: Democratize access to world‐class education Democratize access to world‐class education Stay current on leading‐edge research Stay current on leading‐edge research Automate routine calculations, coding, and lab workflows for scientists everywhere Automate routine calculations, coding, and lab workflows for scientists everywhere That training data starts with you."", ""your mission"": ""As an Expert , you’ll act as a subject‐matter “teacher” for the model:"", ""expert"": ""Write & solve problems in the domain of Computer Science . Write & solve problems in the domain of Computer Science ."", ""computer science"": ""Design rubrics that define what a perfect answer looks like. Design rubrics that define what a perfect answer looks like. Employment type: Contract Workplace type: Remote Seniority level: Mid‐Senior Level"", ""design rubrics"": ""Grade model outputs , pinpointing gaps in logic, ethics, or clarity. Grade model outputs , pinpointing gaps in logic, ethics, or clarity."", ""grade model outputs"": ""Coach the model to self‐evaluate, reason step‐by‐step, and unlock creativity. Coach the model to self‐evaluate, reason step‐by‐step, and unlock creativity."", ""coach the model"": ""You’ll collaborate with fellow expert trainers, quality analysts, and AI researchers—directly shaping how cutting‐edge AI understands and reasons in the field of Computer Science ."", ""experience we’re looking for"": ""Must‐Have Graduate Degree in Computer Science (PhD or Masters) Native Level of Proficiency in Mandarin Nice‐to‐Have Peer‐reviewed research University teaching or high‐level tutoring Relevant Industry experience in Computer Science"", ""a typical day"": ""Data creation (core) – authoring and solving domain‐specific problems. Data creation (core) – authoring and solving domain‐specific problems."", ""data creation (core)"": ""Model assessment – scoring answers and refining evaluation criteria. Model assessment – scoring answers and refining evaluation criteria."", ""model assessment"": ""Instruction refinement – rewriting prompts so the next trainer can work even faster. Instruction refinement – rewriting prompts so the next trainer can work even faster."", ""instruction refinement"": ""Quality & ethics reviews – flagging bias, inaccuracies, or unsafe content. Quality & ethics reviews – flagging bias, inaccuracies, or unsafe content."", ""quality & ethics reviews"": ""Info syncs – short stand‐ups or workshops on new campaigns and findings. Info syncs – short stand‐ups or workshops on new campaigns and findings."", ""who thrives here"": ""Critical thinkers who love deconstructing complex concepts. Critical thinkers who love deconstructing complex concepts. Clear communicators able to explain both what is wrong and why . Clear communicators able to explain both what is wrong and why . Detail‐oriented professionals with a strong ethical compass. Detail‐oriented professionals with a strong ethical compass. Agile multitaskers who enjoy switching between micro‐tasks and deep dives. Agile multitaskers who enjoy switching between micro‐tasks and deep dives. Patient collaborators who give constructive, respectful feedback. Patient collaborators who give constructive, respectful feedback."", ""compensation"": ""$15 - $30 USD per hour"", ""$15 - $30 usd per hour"": ""Ready to turn your expertise in Computer Science into the knowledge base for tomorrow’s AI? Apply today and start teaching the model that will teach the world."", ""apply for this job"": ""* indicates a required field Accepted file types: pdf, doc, docx, txt, rtf Education Proficiency means you can effectively communicate complex ideas, including academic or cognitively challenging topics, both verbally and in writing. This includes the ability to participate in professional conversations, explain nuanced concepts, and understand detailed instructions in the selected language(s) Please enter your desired hourly rate in USD as a number only (no symbols, words, or ranges). Decimals are allowed. Do not include $, commas, or text."", ""number only"": ""Example: 8.50 (for $8.50/hour)"", ""example:"": ""Please enter the number of hours you are generally available each week using numbers only . Decimals are allowed. Do not include text or symbols. By clicking \""Submit Application\"", you agree to Invisible's Privacy Policy . Powered by Read our Privacy Policy"", ""not"": ""Example: 40 or 32.5""}"
Computer Science Specialist – AI Trainer,World Wide - Remote,2025-04-18T11:43:29-04:00,2025-06-24T14:37:16-04:00,https://job-boards.eu.greenhouse.io/agency/jobs/4577596101,"{""computer science specialist – ai trainer"": ""Are you a computer science expert eager to shape the future of AI? Large‐scale language models are evolving from clever chatbots into powerful engines of scientific discovery. With high‐quality training data, tomorrow’s AI can democratize world‐class education, keep pace with cutting‐edge research, and streamline software development for engineers everywhere. That training data begins with you—we need your expertise to help power the next generation of AI. We’re looking for computer science specialists who live and breathe algorithms, data structures, machine learning, artificial intelligence, software engineering, computer networks, cybersecurity, cloud computing, database management, and systems architecture. You’ll challenge advanced language models on topics like algorithm optimization, model training and evaluation, network protocols, distributed systems, object-oriented design, and performance tuning—documenting every failure mode so we can harden model reasoning. On a typical day, you will converse with the model on coding scenarios and theoretical computer science questions, verify factual accuracy and logical soundness, capture reproducible error traces, and suggest improvements to our prompt engineering and evaluation metrics. A master’s or PhD in computer science or a closely related field is ideal; peer‐reviewed publications, software development experience, or hands-on machine learning projects signal fit. Clear, metacognitive communication—“showing your work”—is essential. Ready to turn your computer science expertise into the knowledge base for tomorrow’s AI? Apply today and start teaching the model that will teach the world. We offer a pay range of $8-to- $65 per hour, with the exact rate determined after evaluating your experience, expertise, and geographic location. Final offer amounts may vary from the pay range listed above. As a contractor you’ll supply a secure computer and high‐speed internet; company‐sponsored benefits such as health insurance and PTO do not apply. Job title: Computer Science Specialist – AI Trainer Employment type: Contract Workplace type: Remote Seniority level: Mid‐Senior Level"", ""apply for this job"": ""* indicates a required field Accepted file types: pdf, doc, docx, txt, rtf Education Proficiency means you can effectively communicate complex ideas, including academic or cognitively challenging topics, both verbally and in writing. This includes the ability to participate in professional conversations, explain nuanced concepts, and understand detailed instructions in the selected language(s) Please enter your desired hourly rate in USD as a number only (no symbols, words, or ranges). Decimals are allowed. Do not include $, commas, or text."", ""number only"": ""Example: 8.50 (for $8.50/hour)"", ""example:"": ""Please enter the number of hours you are generally available each week using numbers only . Decimals are allowed. Do not include text or symbols. By clicking \""Submit Application\"", you agree to Invisible's Privacy Policy . Powered by Read our Privacy Policy"", ""not"": ""Example: 40 or 32.5""}"
Computer Science Specialist – AI Trainer,India,2025-06-13T15:52:00-04:00,2025-06-24T14:37:16-04:00,https://job-boards.eu.greenhouse.io/agency/jobs/4606900101,"{""computer science specialist – ai trainer"": ""Are you a computer science expert eager to shape the future of AI? Large‐scale language models are evolving from clever chatbots into powerful engines of scientific discovery. With high‐quality training data, tomorrow’s AI can democratize world‐class education, keep pace with cutting‐edge research, and streamline software development for engineers everywhere. That training data begins with you—we need your expertise to help power the next generation of AI. We’re looking for computer science specialists who live and breathe algorithms, data structures, machine learning, artificial intelligence, software engineering, computer networks, cybersecurity, cloud computing, database management, and systems architecture. You’ll challenge advanced language models on topics like algorithm optimization, model training and evaluation, network protocols, distributed systems, object-oriented design, and performance tuning—documenting every failure mode so we can harden model reasoning. On a typical day, you will converse with the model on coding scenarios and theoretical computer science questions, verify factual accuracy and logical soundness, capture reproducible error traces, and suggest improvements to our prompt engineering and evaluation metrics. A master’s or PhD in computer science or a closely related field is ideal; peer‐reviewed publications, software development experience, or hands-on machine learning projects signal fit. Clear, metacognitive communication—“showing your work”—is essential. Ready to turn your computer science expertise into the knowledge base for tomorrow’s AI? Apply today and start teaching the model that will teach the world. We offer a pay range of $8-to- $65 per hour, with the exact rate determined after evaluating your experience, expertise, and geographic location. Final offer amounts may vary from the pay range listed above. As a contractor you’ll supply a secure computer and high‐speed internet; company‐sponsored benefits such as health insurance and PTO do not apply. Job title: Computer Science Specialist – AI Trainer Employment type: Contract Workplace type: Remote Seniority level: Mid‐Senior Level"", ""apply for this job"": ""* indicates a required field Accepted file types: pdf, doc, docx, txt, rtf Education Proficiency means you can effectively communicate complex ideas, including academic or cognitively challenging topics, both verbally and in writing. This includes the ability to participate in professional conversations, explain nuanced concepts, and understand detailed instructions in the selected language(s) Please enter your desired hourly rate in USD as a number only (no symbols, words, or ranges). Decimals are allowed. Do not include $, commas, or text."", ""number only"": ""Example: 8.50 (for $8.50/hour)"", ""example:"": ""Please enter the number of hours you are generally available each week using numbers only . Decimals are allowed. Do not include text or symbols. By clicking \""Submit Application\"", you agree to Invisible's Privacy Policy . Powered by Read our Privacy Policy"", ""not"": ""Example: 40 or 32.5""}"
Drug Discovery Specialist - AI Trainer,World Wide - Remote,2025-05-15T17:03:10-04:00,2025-05-19T07:27:06-04:00,https://job-boards.eu.greenhouse.io/agency/jobs/4590468101,"{""drug discovery specialist - ai trainer"": ""Are you a drug discovery expert eager to shape the future of AI? Large‐scale language models are evolving from clever chatbots into powerful engines of scientific discovery. With high‐quality training data, tomorrow’s AI can democratize world‐class education, keep pace with cutting‐edge research, and streamline lab work for scientists everywhere. That training data begins with you—we need your expertise to help power the next generation of AI. We’re looking for drug discovery specialists who live and breathe medicinal chemistry, pharmacology, high-throughput screening, target validation, ADMET profiling, lead optimization, molecular modeling, structure-based drug design, and translational research. You’ll challenge advanced language models on topics like ligand–receptor interactions, pharmacokinetics and pharmacodynamics, in silico docking studies, assay development, chemical libraries, biomarker identification, and preclinical candidate evaluation—documenting every failure mode so we can harden model reasoning. On a typical day, you will converse with the model on compound screening strategies and theoretical drug design questions, verify factual accuracy and logical soundness, capture reproducible error traces, and suggest improvements to our prompt engineering and evaluation metrics. A PhD in pharmaceutical sciences, chemistry, pharmacology, or a closely related life‐science field is ideal; peer‐reviewed publications, lab-based discovery research, or applied computational chemistry projects signal fit. Clear, metacognitive communication—“showing your work”—is essential. Ready to turn your drug discovery expertise into the knowledge base for tomorrow’s AI? Apply today and start teaching the model that will teach the world. We offer a pay range of $8‐to‐$65 per hour, with the exact rate determined after evaluating your experience, expertise, and geographic location. Final offer amounts may vary from the pay range listed above. As a contractor you’ll supply a secure computer and high‐speed internet; company‐sponsored benefits such as health insurance and PTO do not apply. Job title: Drug Discovery Specialist – AI Trainer Employment type: Contract Workplace type: Remote Seniority level: Mid‐Senior Level"", ""apply for this job"": ""* indicates a required field Accepted file types: pdf, doc, docx, txt, rtf Education Proficiency means you can effectively communicate complex ideas, including academic or cognitively challenging topics, both verbally and in writing. This includes the ability to participate in professional conversations, explain nuanced concepts, and understand detailed instructions in the selected language(s) Please enter your desired hourly rate in USD as a number only (no symbols, words, or ranges). Decimals are allowed. Do not include $, commas, or text."", ""number only"": ""Example: 8.50 (for $8.50/hour)"", ""example:"": ""Please enter the number of hours you are generally available each week using numbers only . Decimals are allowed. Do not include text or symbols. By clicking \""Submit Application\"", you agree to Invisible's Privacy Policy . Powered by Read our Privacy Policy"", ""not"": ""Example: 40 or 32.5""}"
