id,absolute_url,title,location,commitment,first_published,updated_at,compensation,description,tag_ids
list_AAABloVbWj67fP4nFUdHHr2k,https://work.mercor.com/jobs/list_AAABloVbWj67fP4nFUdHHr2k,Senior Domain Expert,Remote,hourly,2025-04-30T06:21:19Z,2025-06-25T20:34:05Z,$60 - $200 hourly,"Mercor is recruiting **Senior Domain Experts** as independent contractors working on a research project **for one of the world's top AI companies.** This project involves using your professional experience to design questions related to your occupation.

**Please note that we are ONLY extending offers to folks who fall into sector-occupation combinations listed on this sheet**: [https://docs.google.com/spreadsheets/d/1GL-dGcaTwaFtB6FGBeENoiiae0Uk9ezsE-\_yrC6tr10/edit?usp=sharing.](https://docs.google.com/spreadsheets/d/1GL-dGcaTwaFtB6FGBeENoiiae0Uk9ezsE-_yrC6tr10/edit?usp=sharing) Please ensure you match one of these sector-occupation pairings prior to applying.

In addition to fitting one of those sector-occupation combinations, we applicants must:

- Have **4+ years full-time work experience** in their field;
    
- Have concrete evidence of being an **above-average performer** (such as a history of receiving promotions or awards); and
    
- **Have hired (or trained) others in their professional domain**
    
- **Be based in the US, UK, or Canada**
    

Here are more details about the role:

- The listed hourly compensation scale is broad because we are adding people from a range of professions to this project - we aim to make **the hourly compensation rate offered to you competitive based on your professional background and geographic location** (please note that the listed hourly compensation scale is for U.S.-based applicants and that that scale will differ depending on where a candidate is geographically based)
    
- The work is **fully asynchronous** and can be done around your schedule
    
- This project requires that you be able to commit a **minimum of 15 hours per week**
    
- The work **will last for approximately 3-4 weeks after you begin the project**
    

With respect to pay and legal status:

- **We can meet industry-standard compensation expectations for your current role**
    
- We will pay you out weekly via Stripe Connect based on the number of project work hours that you log
    
- You will be classified as an ""at-will"" contractor to Mercor
    
- Please note that we **cannot currently support H1-B or STEM OPT status candidates**",19
list_AAABlWhct6qYqnlJuU1FKbLA,https://work.mercor.com/jobs/list_AAABlWhct6qYqnlJuU1FKbLA,Finance Expert,Remote,hourly,2025-03-05T22:11:02Z,2025-06-25T04:57:15Z,$150 - $150 hourly,"Mercor is recruiting U.S./UK/Canada/Europe-based **Finance Experts** for a research project with a leading foundational model AI lab.

You are a good fit if you:

- Have **at least 2 years of experience** working at top firms in M&A/restructuring investment banking or private equity and (optionally) experience in the following
    
    - Venture capital or growth equity
        
    - Corporate FP&A
        
    - Infrastructure / energy project-finance
        
    - Real estate acquisitions or REITs
        
    - SaaS Finance
        
- Have been involved in facilitating major financial transactions (M&A, IPO, etc.)
    
- Have a strong understanding of core principles in finance and accounting
    

Here are more details about the role:

- The work is **fully asynchronous** and can be done around your schedule
    
- You must be able to commit **at least 20 hours per week** for this role
    
- This contract is expected to last at least **2 months** with potential to be extended depending on quality of work and engagement
    
- Successful contributions increase the odds that you are selected on future projects with Mercor
    
- The vetting process involves:
    
    - ~10 minute behavioral interview asking about previous deals you've worked on
        
    - Technical assessment ( < 30 minutes) evaluating financial expertise
        
    - One 2h paid assessment of modeling skills
        

With respect to pay and legal status:

- **This role will pay $150/hour**
    
- We will pay you out at the end of each week via Stripe Connect based on the number of hours you log
    
- You will be classified as an ""at-will"" contractor to Mercor
    
- Please note that we **cannot currently support H1-B or STEM OPT status candidates**",11
list_AAABl5CJx8ECmf82o1tG8Z39,https://work.mercor.com/jobs/list_AAABl5CJx8ECmf82o1tG8Z39,Junior Software Engineer (LLM Comparisons),Remote,hourly,2025-06-21T03:30:38Z,2025-06-25T22:22:20Z,$40 - $60 hourly,"**About the Role**

Join an exciting project at the forefront of AI innovation. As a Junior SWE, you will drive the development of improving the responses of generative AI models. Your technical leadership will be essential in crafting globally-used platforms for advanced AI training and deployment.

A brief 15-minute interview precedes candidate selection, with decisions typically made within two days following assessment completion. **We are seeking candidates who are available for an immediate start date (6/30).** Currently, applicants must be based in the U.S, Canada, UK, or India.

**Why You're a Great Fit**

You're a strong candidate if you:

- Have 1+ years of software engineering experience from top-tier technology startups, hedge funds, Fortune 500 companies, or similarly demanding environments.
    
- Hold a Computer Science degree from a university in the U.S., Canada, UK or India.
    
- Have demonstrated success writing code across various programming languages and libraries (C++, Python, Java, React, Pandas, Matplotlib, Flutter, Rust, etc.)
    
- Demonstrate exceptional attention to detail and rigorous problem-solving skills.
    
- Excel in both written and verbal communication.
    

**Role Highlights**

- Evaluate pairwise LLM outputs for quality and accuracy.
    
- Navigate the unique constraints presented by Reinforcement Learning environments.
    
- Flexible workload: 15–20 hours weekly, with the potential to scale to 30 hours.
    
- Fully remote and asynchronous scheduling.
    
- Commitment of 2-3 weeks, with opportunity for extension.
    

**Compensation and Legal Details**

- If you receive an offer for this position, you will be assigned to one of our ongoing projects. This project has an hourly rate of **$40-60/hr**.
    

**About Mercor**

Mercor connects elite talent with leading AI research labs and is headquartered in San Francisco, CA. Our distinguished investors include Benchmark, General Catalyst, Peter Thiel, Adam D'Angelo, Larry Summers, and Jack Dorsey.

Apply today to leverage your elite software engineering skills in advancing revolutionary AI technologies!","7,19"
list_AAABlVKQ3J1niGxZLEhGy4jc,https://work.mercor.com/jobs/list_AAABlVKQ3J1niGxZLEhGy4jc,Dermatologists,Remote,hourly,2025-03-01T16:36:20Z,2025-06-19T17:14:21Z,$270 - $270 hourly,"### About the Role

Mercor seeking practicing/practiced and licensed dermatologists with 5+ years of experience to assist in a medical annotation project focused on identifying and categorizing skin conditions from clinical images. The role involves labeling and annotating dermatological images with key medical characteristics, including lesion color, shape, and distribution, using medical terminology.

### Responsibilities

- Review high-resolution images of skin lesions and accurately identify the dermatological condition.
    
- Categorize lesions based on medically relevant attributes, including color, shape, and distribution.
    
- Ensure accuracy and consistency in labeling to meet medical and project standards.
    

### **Requirements**

- Seeking U.S.-licensed dermatologist (M.D.) with 5+ years of experience in clinical practice.
    
- Strong ability to identify and describe skin conditions using medical terminology.
    
- Prior experience in medical and residency education is helpful.
    
- Prior experience in image annotation is helpful.
    

### Expected Commitment

- The work is fully asynchronous and can be done on your schedule.
    
- We are looking for a commitment of at least 25 hours per week, with up to 40 hours per week of work available.
    
- This project is expected to run through the end of September 2025.
    
- Successful contributions increase the odds that you are selected on future projects with Mercor
    

### Why Join Us?

- Contribute to a cutting edge research project at the intersection of AI and medicine.
    
- Flexible remote work with competitive compensation.",20
list_AAABl0HHWFBtivUVIE9FV58r,https://work.mercor.com/jobs/list_AAABl0HHWFBtivUVIE9FV58r,Plant Specialist,Remote,hourly,2025-06-05T20:27:53Z,2025-06-12T10:22:43Z,$30 - $60 hourly,"### About the Role

Mercor seeking **Plant Specialists** to support a project identifying the genus and species of image plants.

### Responsibilities

- Review images and identify the genus and species of the subject of the image.
    
- Graders are expected to be able to identify the subject of the image from their personal knowledge rather than external sources. 
    
- Ensure accuracy and consistency in labeling to meet project standards.
    

### **Requirements**

- Must be based in the US.
    
- Have a Bachelor's, Master's, PhD and/or extensive work history in ecosystems management, ecology, botany, arbory or another related field.
    
- Following the initial application process, you may be asked to take a screening quiz, identifying subjects of sample plant images.
    

### Expected Commitment

- The work is fully asynchronous and can be done around your schedule
    
- We are looking for a commitment of 20-40 hours per week.
    
- This project is expected to run through the end of September 2025.
    
- Successful contributions increase the odds that you are selected on future projects with Mercor
    
- Pay range commensurate with degree and experience",4
list_AAABlrYVOjJ85ymMYz5Dobql,https://work.mercor.com/jobs/list_AAABlrYVOjJ85ymMYz5Dobql,Python SWE,Remote,hourly,2025-05-09T17:26:07Z,2025-06-12T14:25:46Z,$40 - $58 hourly,"We are hiring software engineers to assist a leading AI research lab with environment setup and dependency management for open-source Python projects. Your work will focus on configuring development environments, resolving dependency issues, and ensuring tests pass across various codebases. This is a remote, flexible role.

# **Job requirements**

- Expertise in Python, ideally at least 2 years of industry experience.
    
- Familiarity with setting up development environments.
    
- High attention to detail as well as exceptional written and verbal communication skills.
    
- (Strongly Preferred) Lots of activity on Github, in particular lots of commits over the past year.
    

# **More details about the role**

- This project is focused on reviewing Python push requests in Github. It may slightly evolve with time, but strong Python competency is required anyway.
    
- The project has a 2 week trial period up front to see if it's a good mutual fit, and will extend beyond that based on performance.
    
- You will be expected to commit between 20-40 hours per week. The hours are fully flexible and the opportunity is remote.
    

# **Role Logistics**

- You'll be paid weekly via Stripe Connect.
    
- You'll be an independent contractor, working through Mercor.
    
- The advertised pay range is for US-based candidates, but we strive to keep rates competitive for all geographies.
    

# **About Mercor**

- Our team is based in San Francisco, CA.
    
- We specialize in recruiting experts for top AI labs.
    
- Our investors include Benchmark, General Catalyst, Adam D'Angelo, Larry Summers, and Jack Dorsey.",7
list_AAABl19q4blrxXVsHS1PyaVO,https://work.mercor.com/jobs/list_AAABl19q4blrxXVsHS1PyaVO,[REF ONLY] Physics PhDs,Remote,hourly,2025-06-11T14:35:30Z,2025-06-13T02:49:55Z,$55 - $90 hourly,"**_Note: This is a referral only listing_**

Mercor is seeking **Physics PhDs** for a premier project with one of the world's top AI labs.

In this role, you will contribute your subject matter expertise to a cutting-edge project involving state-of-the-art large language models. Specifically, you will help create high-quality data that will inform the future of AI innovation by coming up with difficult problems in your domain.

You're a good fit if you:

- Have attended undergraduate in **US/UK/Canada**.
    
- Have a Physics PhD from a top **US university**.
    
- Have high **attention to detail.**
    
- Have exceptional **written and verbal communication skills.**
    

Here are more details about the role:

- You will interface directly with prominent AI researchers from the lab in a private Slack channel
    
- The role is ongoing starting in June and continuing with rolling applications.
    
- The project is **10-20 hours of work per week** with potential to be extended to 40 hours per week
    
- The work is **fully remote and asynchronous** so it can flexible and subject to your schedule
    
- This project is scoped to last a **minimum of 1-2 months**
    

With respect to pay and legal status:

- You will be legally classified as an hourly contractor for Mercor
    
- We will pay you out at the end of each week via Stripe Connect
    

Screening Process:

- You will need to complete a short interview and form which will take in total 20-30 min to fully apply.
    

Currently, we are only accepting applicants from the U.S., UK, and Canada.

## **About Mercor**

Mercor specializes in recruiting experts for top AI labs and is based in **San Francisco, CA**. Our investors include **Benchmark, General Catalyst, Peter Thiel, Adam D'Angelo, Larry Summers,** and **Jack Dorsey**.

* * *

Apply today and leverage your leadership and technical expertise to advance cutting-edge AI models!",3
list_AAABlrN7lKO7RUNQFRxPUJN4,https://work.mercor.com/jobs/list_AAABlrN7lKO7RUNQFRxPUJN4,Research PhD (STEM),Remote,hourly,2025-05-09T05:19:03Z,2025-06-10T15:13:23Z,$30 - $60 hourly,"Mercor is seeking **PhDs and PhD candidates in STEM fields** to join a high-impact AI research initiative with a leading AI lab.
This role involves evaluating and improving cutting-edge large language models (LLMs) by contributing deep domain expertise and academic research insight to benchmark model performance in scientific and technical disciplines.

* * *

### Key Responsibilities:

- Evaluate the accuracy, depth, and relevance of LLM-generated responses in your domain of expertise.
    
- Design and review complex domain-specific tasks to rigorously test model capabilities.
    
- Provide structured, high-quality feedback on model strengths and weaknesses.
    
- Collaborate with AI researchers to identify model limitations and suggest improvements.
    
- Contribute to the development of benchmark datasets and evaluation protocols.
    

* * *

### You're a strong fit if you have:

- A PhD (or are currently a PhD candidate) in a STEM field such as chemistry, physics, mathematics, or related disciplines.
    
- Deep familiarity with current research and open questions in your domain.
    
- The ability to critically evaluate scientific reasoning, technical writing, and data-driven insights.
    
- Strong analytical thinking and attention to detail.
    
- Excellent written communication skills.
    
- Comfort working independently and asynchronously in remote teams.
    

* * *

### Role Details:

- Part-time (15–40 hours/week), fully flexible hours.
    
- 100% remote and asynchronous—work on your own schedule from anywhere.
    

* * *

### Compensation & Legal:

- Hourly contractor role via Mercor.
    
- Competitive pay based on expertise and domain, ranging from **$20 to $60 per hour**.
    
- Payments processed weekly through Stripe Connect.
    

* * *",19
list_AAABl19uTdGT1QwxlaZOmInp,https://work.mercor.com/jobs/list_AAABl19uTdGT1QwxlaZOmInp,[REF ONLY] Chemistry PhDs,Remote,hourly,2025-06-11T14:39:14Z,2025-06-25T18:32:00Z,$55 - $90 hourly,"**_Note: This is a referral only listing_**

Mercor is seeking **Chemistry PhDs** for a premier project with one of the world's top AI labs.

In this role, you will contribute your subject matter expertise to a cutting-edge project involving state-of-the-art large language models. Specifically, you will help create high-quality data that will inform the future of AI innovation by coming up with difficult problems in your domain.

You're a good fit if you:

- Have attended undergraduate in **US/UK/Canada**.
    
- Have a Chemistry PhD from a top **US university**.
    
- Have high **attention to detail.**
    
- Have exceptional **written and verbal communication skills.**
    

Here are more details about the role:

- You will interface directly with prominent AI researchers from the lab in a private Slack channel
    
- The role is ongoing starting in June and continuing with rolling applications.
    
- The project is **10-20 hours of work per week** with potential to be extended to 40 hours per week
    
- The work is **fully remote and asynchronous** so it can flexible and subject to your schedule
    
- This project is scoped to last a **minimum of 1-2 months**
    

With respect to pay and legal status:

- You will be legally classified as an hourly contractor for Mercor
    
- We will pay you out at the end of each week via Stripe Connect
    

Screening Process:

- You will need to complete a short interview and form which will take in total 20-30 min to fully apply.
    

Currently, we are only accepting applicants from the U.S., UK, and Canada.

## **About Mercor**

Mercor specializes in recruiting experts for top AI labs and is based in **San Francisco, CA**. Our investors include **Benchmark, General Catalyst, Peter Thiel, Adam D'Angelo, Larry Summers,** and **Jack Dorsey**.

* * *

Apply today and leverage your leadership and technical expertise to advance cutting-edge AI models!",2
list_AAABl19tRx-OEs-ikvdD9Kgy,https://work.mercor.com/jobs/list_AAABl19tRx-OEs-ikvdD9Kgy,[REF ONLY] Biology PhDs,Remote,hourly,2025-06-11T14:38:07Z,2025-06-25T18:31:45Z,$55 - $90 hourly,"**_Note: This is a referral only listing_**

Mercor is seeking **Biology PhDs** for a premier project with one of the world's top AI labs.

In this role, you will contribute your subject matter expertise to a cutting-edge project involving state-of-the-art large language models. Specifically, you will help create high-quality data that will inform the future of AI innovation by coming up with difficult problems in your domain.

You're a good fit if you:

- Have attended undergraduate in **US/UK/Canada**.
    
- Have a Biology PhD from a top **US university**.
    
- Have high **attention to detail.**
    
- Have exceptional **written and verbal communication skills.**
    

Here are more details about the role:

- You will interface directly with prominent AI researchers from the lab in a private Slack channel
    
- The role is ongoing starting in June and continuing with rolling applications.
    
- The project is **10-20 hours of work per week** with potential to be extended to 40 hours per week
    
- The work is **fully remote and asynchronous** so it can flexible and subject to your schedule
    
- This project is scoped to last a **minimum of 1-2 months**
    

With respect to pay and legal status:

- You will be legally classified as an hourly contractor for Mercor
    
- We will pay you out at the end of each week via Stripe Connect
    

Screening Process:

- You will need to complete a short interview and form which will take in total 20-30 min to fully apply.
    

Currently, we are only accepting applicants from the U.S., UK, and Canada.

## **About Mercor**

Mercor specializes in recruiting experts for top AI labs and is based in **San Francisco, CA**. Our investors include **Benchmark, General Catalyst, Peter Thiel, Adam D'Angelo, Larry Summers,** and **Jack Dorsey**.

* * *

Apply today and leverage your leadership and technical expertise to advance cutting-edge AI models!",4
